IPEDS_ID,School,School_Abb
197869,Appalachian State University,APP
104151,Arizona State University,ASU
106458,Arkansas State University,ARST
100858,Auburn University,AUB
150136,Ball State University,BALL
142115,Boise State University,BSU
201441,Bowling Green State University,BGSU
110556,California State University-Fresno,FRES
169248,Central Michigan University,CMU
217882,Clemson University,CLEM
218724,Coastal Carolina University,CCU
126818,Colorado State University,CSU
198464,East Carolina University,ECU
169798,Eastern Michigan University,EMU
133669,Florida Atlantic University,FAU
133951,Florida International University,FIU
134097,Florida State University,FSU
139755,Georgia Institute of Technology,GT
139931,Georgia Southern University,GASO
139940,Georgia State University,GSU
151351,Indiana University-Bloomington,IND
153603,Iowa State University,ISU
155399,Kansas State University,KSU
203517,Kent State University,KENT
159391,Louisiana State University and Agricultural & Mechanical College,LSU
159647,Louisiana Tech University,LT
237525,Marshall University,MRSH
204024,Miami University,M-OH
171100,Michigan State University,MSU
220978,Middle Tennessee State University,MTSU
176080,Mississippi State University,MSST
188030,New Mexico State University,NMSU
199193,North Carolina State University at Raleigh,NCST
147703,Northern Illinois University,NIU
204857,Ohio University,OHIO
207388,Oklahoma State University,OKST
232982,Old Dominion University,ODU
209542,Oregon State University,ORST
214777,Pennsylvania State University,PSU
243780,Purdue University,PUR
186380,"Rutgers, The State University of New Jersey-New Brunswick",RUTG
122409,San Diego State University,SDSU
122755,San Jose State University,SJSU
228723,Texas A & M University,TAMU
228459,Texas State University,TXST
229115,Texas Tech University,TTU
204796,The Ohio State University,OSU
100751,The University of Alabama,BAMA
221759,The University of Tennessee,TENN
228778,The University of Texas at Austin,TEX
228796,The University of Texas at El Paso,UTEP
229027,The University of Texas at San Antonio,UTSA
102368,Troy University,TROY
128328,United States Air Force Academy,AFA
197036,United States Military Academy,ARMY
196088,"University at Buffalo, The State University of New York",BUFF
200800,University of Akron,AKR
100663,University of Alabama at Birmingham,UAB
104179,University of Arizona,ARIZ
106397,University of Arkansas,ARK
110635,University of California-Berkeley,CAL
110662,University of California-Los Angeles,UCLA
132903,University of Central Florida,UCF
201885,University of Cincinnati,CIN
126614,University of Colorado Boulder,COLO
129020,University of Connecticut,UCONN
134130,University of Florida,FLA
139959,University of Georgia,UGA
141574,University of Hawaii at Manoa,HAW
225511,University of Houston,HOU
142285,University of Idaho,IDHO
145637,University of Illinois at Urbana-Champaign,ILL
153658,University of Iowa,IOWA
155317,University of Kansas,KU
157085,University of Kentucky,UK
160658,University of Louisiana at Lafayette,ULL
159993,University of Louisiana at Monroe,ULM
157289,University of Louisville,LOU
163286,University of Maryland-College Park,UMD
166629,University of Massachusetts Amherst,UMASS
220862,University of Memphis,MEM
170976,University of Michigan,MICH
174066,University of Minnesota-Twin Cities,MINN
176017,University of Mississippi,MISS
178396,University of Missouri-Columbia,MIZZ
181464,University of Nebraska-Lincoln,NEB
182281,University of Nevada-Las Vegas,UNLV
182290,University of Nevada-Reno,NEV
187985,University of New Mexico,UNM
199120,University of North Carolina at Chapel Hill,UNC
199139,University of North Carolina at Charlotte,UNCC
227216,University of North Texas,UNT
207500,University of Oklahoma,OKLA
209551,University of Oregon,ORE
102094,University of South Alabama,USA
218663,University of South Carolina,SCAR
137351,University of South Florida,USF
176372,University of Southern Mississippi,USM
206084,University of Toledo,TOL
230764,University of Utah,UTAH
234076,University of Virginia,UVA
236948,University of Washington,WASH
240444,University of Wisconsin-Madison,WIS
240727,University of Wyoming,WYO
230728,Utah State University,USU
233921,Virginia Polytechnic Institute and State University,VT
236939,Washington State University,WSU
238032,West Virginia University,WVU
157951,Western Kentucky University,WKU
172699,Western Michigan University,WMU
